,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
117,963,2022050322,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7149,mg/L,7.2936,pH,0.0519,NTU
118,962,2022050322,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.4513,mg/L,7.2799,pH,0.6060,NTU
119,961,2022050322,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8802,mg/L,7.3483,pH,0.0414,NTU
120,960,2022050322,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7129,mg/L,7.2253,pH,0.0244,NTU
121,959,2022050322,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7739,mg/L,7.2677,pH,0.0557,NTU
122,958,2022050322,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8495,mg/L,7.5574,pH,0.0640,NTU
123,957,2022050322,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.9228,mg/L,7.2205,pH,0.0399,NTU
124,956,2022050322,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.8323,mg/L,7.1318,pH,0.0505,NTU
125,955,2022050322,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8691,mg/L,7.8475,pH,0.0384,NTU
126,954,2022050322,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8588,mg/L,6.7984,pH,0.0386,NTU
127,953,2022050322,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7464,mg/L,7.0763,pH,0.0650,NTU
128,952,2022050322,자인정수장,4729012339,경산시 자인면,생활정수,0.6933,mg/L,6.9369,pH,0.0674,NTU
129,951,2022050322,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6720,mg/L,6.7886,pH,0.0759,NTU
130,950,2022050322,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0164,mg/L,7.3003,pH,0.9797,NTU
131,949,2022050322,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.6065,mg/L,7.0289,pH,0.3070,NTU
132,948,2022050322,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8116,mg/L,7.1847,pH,0.0541,NTU
133,947,2022050322,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2805,NTU
134,946,2022050322,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8750,mg/L,7.3938,pH,0.0475,NTU
135,945,2022050321,자인정수장,4729012339,경산시 자인면,생활정수,0.6834,mg/L,6.9455,pH,0.0674,NTU
136,944,2022050321,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.9178,mg/L,7.3707,pH,0.0515,NTU
137,943,2022050321,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6748,mg/L,6.7875,pH,0.0758,NTU
138,942,2022050321,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.8936,mg/L,7.5611,pH,0.0675,NTU
139,941,2022050321,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7477,mg/L,7.0738,pH,0.0650,NTU
140,940,2022050321,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6926,mg/L,7.4420,pH,0.0364,NTU
141,939,2022050321,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7141,mg/L,7.2992,pH,0.0523,NTU
142,938,2022050321,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8758,mg/L,7.0015,pH,0.0600,NTU
143,937,2022050321,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7170,mg/L,7.2299,pH,0.0248,NTU
144,936,2022050321,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7240,mg/L,7.1891,pH,0.0649,NTU
145,935,2022050321,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9464,mg/L,7.5769,pH,0.0588,NTU
146,934,2022050321,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.9068,mg/L,7.5787,pH,0.0634,NTU
147,933,2022050321,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.4616,mg/L,7.2781,pH,0.5823,NTU
